id	state	date
sample48	AK	2020-06-20
sample21	AK	2020-04-09
sample39	AK	2020-05-27
sample16	AK	2020-03-26
sample25	AK	2020-03-23
sample40	AK	2020-06-01
sample52	AK	2020-07-22
sample51	AK	2020-06-22
sample108	AK	2020-07-02
sample97	AK	2020-07-02
sample58	AK	2020-07-22
sample34	AK	2020-04-19
sample89	AK	2020-06-29
sample61	AK	2020-06-01
sample13	AK	2020-03-19
sample24	AK	2020-03-23
sample7	AK	2020-04-02
sample91	AK	2020-06-29
sample68	AK	2020-06-12
sample54	AK	2020-07-14
sample63	AK	2020-06-07
sample32	AK	2020-03-23
sample29	AK	2020-04-26
sample12	AK	2020-03-17
sample5	AK	2020-03-21
sample36	AK	2020-06-22
sample80	AK	2020-06-26
sample53	AK	2020-07-08
sample45	AK	2020-06-11
sample17	AK	2020-03-27
sample35	AK	2020-06-16
sample74	AK	2020-06-02
sample33	AK	2020-04-04
sample95	AK	2020-07-01
sample83	AK	2020-06-26
sample88	AK	2020-06-29
sample42	AK	2020-06-07
sample75	AK	2020-06-22
sample106	AK	2020-06-25
sample87	AK	2020-06-29
sample96	AK	2020-07-02
sample93	AK	2020-06-30
sample71	AK	2020-06-14
sample82	AK	2020-06-26
sample44	AK	2020-06-10
sample60	AK	2020-05-31
sample47	AK	2020-06-16
sample10	AK	2020-03-24
sample67	AK	2020-06-11
sample86	AK	2020-06-29
sample109	AL	2020-05-01
sample110	AL	2020-04-28
sample111	AL	2020-04-28
sample112	AL	2020-04-16
sample113	AL	2020-04-08
sample114	AL	2020-05-12
sample115	AL	2020-05-12
sample116	AL	2020-04-13
sample117	AL	2020-05-05
sample118	AL	2020-05-10
sample119	AL	2020-05-27
sample120	AL	2020-05-19
sample121	AL	2020-03-23
sample122	AL	2020-03-23
sample123	AL	2020-03-22
sample124	AL	2020-03-23
sample148	AR	2020-07-08
sample161	AR	2020-07-14
sample193	AR	2020-03-18
sample156	AR	2020-07-12
sample155	AR	2020-07-11
sample130	AR	2020-07-10
sample143	AR	2020-07-09
sample158	AR	2020-07-12
sample141	AR	2020-07-08
sample142	AR	2020-07-09
sample146	AR	2020-07-07
sample154	AR	2020-07-11
sample179	AR	2020-07-07
sample180	AR	2020-07-08
sample191	AR	2020-03-18
sample150	AR	2020-07-10
sample189	AR	2020-03-23
sample164	AR	2020-07-15
sample125	AR	2020-03-31
sample153	AR	2020-07-11
sample175	AR	2020-07-23
sample152	AR	2020-07-11
sample190	AR	2020-03-18
sample126	AR	2020-03-23
sample137	AR	2020-07-08
sample181	AR	2020-07-08
sample151	AR	2020-07-11
sample178	AR	2020-07-07
sample159	AR	2020-07-13
sample195	AR	2020-03-15
sample192	AR	2020-03-18
sample169	AR	2020-07-20
sample135	AR	2020-07-08
sample149	AR	2020-07-09
sample177	AR	2020-07-07
sample187	AR	2020-07-18
sample168	AR	2020-07-18
sample157	AR	2020-07-12
sample173	AR	2020-07-03
sample197	AR	2020-07-15
sample160	AR	2020-07-13
sample132	AR	2020-07-10
sample185	AR	2020-07-11
sample136	AR	2020-07-08
sample194	AR	2020-03-16
sample170	AR	2020-07-03
sample184	AR	2020-07-11
sample144	AR	2020-07-07
sample133	AR	2020-07-07
sample188	AR	2020-07-21
sample309	AZ	2020-03-17
sample231	AZ	2020-03-20
sample315	AZ	2020-03-19
sample240	AZ	2020-03-25
sample209	AZ	2020-03-17
sample211	AZ	2020-03-17
sample255	AZ	2020-03-26
sample249	AZ	2020-03-20
sample281	AZ	2020-03-19
sample216	AZ	2020-03
sample220	AZ	2020-03-05
sample307	AZ	2020-03-17
sample299	AZ	2020-03-18
sample246	AZ	2020-03-19
sample311	AZ	2020-03-14
sample318	AZ	2020-03-15
sample276	AZ	2020-04-02
sample233	AZ	2020-03-19
sample320	AZ	2020-03-15
sample230	AZ	2020-03-20
sample267	AZ	2020-03-30
sample234	AZ	2020-03-23
sample207	AZ	2020-03-24
sample256	AZ	2020-03-26
sample280	AZ	2020-03-18
sample245	AZ	2020-03-17
sample219	AZ	2020-03-19
sample202	AZ	2020-03-16
sample214	AZ	2020-03-17
sample253	AZ	2020-03-26
sample269	AZ	2020-03-31
sample258	AZ	2020-03-27
sample260	AZ	2020-03-27
sample325	AZ	2020-03-16
sample250	AZ	2020-03-24
sample251	AZ	2020-03-20
sample316	AZ	2020-03-13
sample298	AZ	2020-03-18
sample283	AZ	2020-03-19
sample261	AZ	2020-03-26
sample312	AZ	2020-03-18
sample204	AZ	2020-03-17
sample317	AZ	2020-03-18
sample229	AZ	2020-03-20
sample286	AZ	2020-03-18
sample259	AZ	2020-03-27
sample221	AZ	2020-03-11
sample206	AZ	2020-03-09
sample239	AZ	2020-03-12
sample225	AZ	2020-03-14
sample1747	CA	2020-04-02
sample879	CA	2020-05-24
sample1489	CA	2020-04-15
sample357	CA	2020-05-15
sample346	CA	2020-06-22
sample4720	CA	2020-04-02
sample4409	CA	2020-07-21
sample2945	CA	2020-05-08
sample3458	CA	2020-03-24
sample2509	CA	2020-04-22
sample413	CA	2020-05-22
sample1291	CA	2020-03-23
sample717	CA	2020-04-23
sample1672	CA	2020-05-08
sample1418	CA	2020-04-03
sample3574	CA	2020-06-05
sample3188	CA	2020-05-12
sample4294	CA	2020-08-28
sample2603	CA	2020-09-17
sample1737	CA	2020-04-02
sample4264	CA	2020-08-06
sample681	CA	2020-05-01
sample3727	CA	2020-05-11
sample977	CA	2020-06-08
sample2433	CA	2020-03-13
sample1601	CA	2020-03-17
sample2261	CA	2020-07-08
sample1214	CA	2020-03-25
sample2360	CA	2020-09-06
sample1204	CA	2020-05-23
sample1070	CA	2020-05-21
sample3683	CA	2020-03-17
sample745	CA	2020-05-08
sample574	CA	2020-07-10
sample2356	CA	2020-09-02
sample3261	CA	2020-05-22
sample2451	CA	2020-03-26
sample4473	CA	2020-05-11
sample1297	CA	2020-03-23
sample1556	CA	2020-04-26
sample363	CA	2020-05-19
sample3108	CA	2020-09-02
sample830	CA	2020-07-09
sample2596	CA	2020-07-17
sample1727	CA	2020-04-01
sample1984	CA	2020-06-15
sample3816	CA	2020-08-20
sample2963	CA	2020-05-13
sample2241	CA	2020-04-22
sample379	CA	2020-05-17
sample5006	CO	2020-03-16
sample4960	CO	2020-04-02
sample4898	CO	2020-06-29
sample4914	CO	2020-04-02
sample5015	CO	2020-03-16
sample4890	CO	2020-03-31
sample4942	CO	2020-04-02
sample4892	CO	2020-03-08
sample4915	CO	2020-04-08
sample4912	CO	2020-04-15
sample4986	CO	2020-04-22
sample4921	CO	2020-04-08
sample4895	CO	2020-03-24
sample4900	CO	2020-03-18
sample4929	CO	2020-04-22
sample4975	CO	2020-04-22
sample4940	CO	2020-04-08
sample5016	CO	2020-03-18
sample4911	CO	2020-04-08
sample4897	CO	2020-03-12
sample4919	CO	2020-04-15
sample4943	CO	2020-04-08
sample4955	CO	2020-04-02
sample4931	CO	2020-04-29
sample4924	CO	2020-04-15
sample4939	CO	2020-04-02
sample4893	CO	2020-03-09
sample5012	CO	2020-03-16
sample4932	CO	2020-04-29
sample4961	CO	2020-04-08
sample4954	CO	2020-04-22
sample4896	CO	2020-03-13
sample4944	CO	2020-04-15
sample4995	CO	2020-03-18
sample4945	CO	2020-04-08
sample4964	CO	2020-04-02
sample4949	CO	2020-04-08
sample4985	CO	2020-04-22
sample4935	CO	2020-04-15
sample4998	CO	2020-03-16
sample4903	CO	2020-03-20
sample4992	CO	2020-04-22
sample4907	CO	2020-05-08
sample4994	CO	2020-03-18
sample4936	CO	2020-04-22
sample4959	CO	2020-04-02
sample4928	CO	2020-04-15
sample4993	CO	2020-03-18
sample4902	CO	2020-03-18
sample5010	CO	2020-03-16
sample5114	CT	2020-03-31
sample5028	CT	2020-03-14
sample5095	CT	2020-04-03
sample5139	CT	2020-03-27
sample5092	CT	2020-04-02
sample5035	CT	2020-03-14
sample5248	CT	2020-03-18
sample5024	CT	2020-03-13
sample5098	CT	2020-04-07
sample5169	CT	2020-03-30
sample5136	CT	2020-03-27
sample5250	CT	2020-03-14
sample5256	CT	2020-03-17
sample5223	CT	2020-04-10
sample5243	CT	2020-03-18
sample5069	CT	2020-04-04
sample5030	CT	2020-03-14
sample5181	CT	2020-03-27
sample5106	CT	2020-04-02
sample5046	CT	2020-03-08
sample5254	CT	2020-03-17
sample5204	CT	2020-03-26
sample5146	CT	2020-03-31
sample5112	CT	2020-03-31
sample5023	CT	2020-03-13
sample5168	CT	2020-03-29
sample5075	CT	2020-04-01
sample5240	CT	2020-03-17
sample5089	CT	2020-03-30
sample5199	CT	2020-03-25
sample5197	CT	2020-03-26
sample5083	CT	2020-04-07
sample5063	CT	2020-04-05
sample5239	CT	2020-03-17
sample5103	CT	2020-04-03
sample5200	CT	2020-03-26
sample5147	CT	2020-03-31
sample5117	CT	2020-04-01
sample5074	CT	2020-04-01
sample5080	CT	2020-04-06
sample5212	CT	2020-04-01
sample5235	CT	2020-04-04
sample5219	CT	2020-04-03
sample5111	CT	2020-03-30
sample5272	CT	2020-03-13
sample5258	CT	2020-03-16
sample5094	CT	2020-04-02
sample5227	CT	2020-04-09
sample5096	CT	2020-04-02
sample5020	CT	2020-03-13
sample5323	DE	2020-03-27
sample5316	DE	2020-03-25
sample5335	DE	2020-04-01
sample101	DE	2020-03-30
sample5336	DE	2020-04-01
sample5310	DE	2020-03-25
sample5332	DE	2020-03-31
sample5333	DE	2020-03-31
sample5340	DE	2020-09-25
sample104	DE	2020-03-31
sample5293	DE	2020-03-21
sample5282	DE	2020-03-22
sample5318	DE	2020-03-25
sample5287	DE	2020-03-11
sample5283	DE	2020-03-23
sample5331	DE	2020-03-31
sample5312	DE	2020-03-25
sample5325	DE	2020-03-27
sample5328	DE	2020-03-30
sample5301	DE	2020-03-25
sample5284	DE	2020-03-24
sample5298	DE	2020-03-27
sample5319	DE	2020-03-25
sample5317	DE	2020-03-25
sample5291	DE	2020-03-24
sample5292	DE	2020-03-19
sample5338	DE	2020-04-02
sample5294	DE	2020-03-14
sample5326	DE	2020-03-30
sample5324	DE	2020-03-26
sample105	DE	2020-03-31
sample100	DE	2020-03-30
sample99	DE	2020-03-22
sample103	DE	2020-03-30
sample5300	DE	2020-03-25
sample5334	DE	2020-03-31
sample5320	DE	2020-03-25
sample5341	DE	2020-09-19
sample5330	DE	2020-03-30
sample102	DE	2020-03-30
sample5286	DE	2020-03-21
sample5289	DE	2020-03-17
sample5297	DE	2020-03-27
sample5303	DE	2020-03-25
sample5296	DE	2020-03-20
sample5308	DE	2020-03-25
sample5295	DE	2020-03-23
sample5304	DE	2020-03-25
sample5327	DE	2020-03-30
sample5314	DE	2020-03-25
sample6289	FL	2020-07-27
sample5674	FL	2020-07-04
sample6221	FL	2020-06-04
sample6354	FL	2020-04-09
sample5976	FL	2020-06-19
sample6258	FL	2020-08-18
sample5888	FL	2020-05-16
sample6448	FL	2020-07-07
sample6479	FL	2020-08-28
sample6399	FL	2020-03-24
sample6546	FL	2020-08-17
sample5826	FL	2020-10-02
sample5504	FL	2020-07-10
sample6361	FL	2020-04-09
sample5539	FL	2020-07-15
sample6181	FL	2020-06-24
sample6106	FL	2020-10-02
sample5638	FL	2020-03-20
sample6286	FL	2020-07-27
sample5866	FL	2020-06-09
sample5936	FL	2020-05-21
sample5834	FL	2020-07-29
sample5737	FL	2020-07-13
sample6119	FL	2020-05-06
sample5463	FL	2020-06-22
sample5655	FL	2020-06-23
sample5689	FL	2020-05-18
sample6533	FL	2020-07-07
sample6584	FL	2020-07-22
sample6055	FL	2020-03-22
sample5774	FL	2020-07-21
sample6282	FL	2020-07-27
sample5864	FL	2020-04-18
sample5942	FL	2020-06-19
sample6494	FL	2020-07-13
sample6052	FL	2020-07-28
sample5903	FL	2020-04-14
sample5487	FL	2020-05-26
