id	state	date
sample87	AK	2020-06-29
sample44	AK	2020-06-10
sample91	AK	2020-06-29
sample63	AK	2020-06-07
sample75	AK	2020-06-22
sample106	AK	2020-06-25
sample48	AK	2020-06-20
sample88	AK	2020-06-29
sample68	AK	2020-06-12
sample39	AK	2020-05-27
sample82	AK	2020-06-26
sample89	AK	2020-06-29
sample32	AK	2020-03-23
sample60	AK	2020-05-31
sample95	AK	2020-07-01
sample116	AL	2020-04-13
sample118	AL	2020-05-10
sample122	AL	2020-03-23
sample114	AL	2020-05-12
sample110	AL	2020-04-28
sample120	AL	2020-05-19
sample119	AL	2020-05-27
sample121	AL	2020-03-23
sample111	AL	2020-04-28
sample123	AL	2020-03-22
sample112	AL	2020-04-16
sample117	AL	2020-05-05
sample109	AL	2020-05-01
sample124	AL	2020-03-23
sample115	AL	2020-05-12
sample179	AR	2020-07-07
sample194	AR	2020-03-16
sample191	AR	2020-03-18
sample125	AR	2020-03-31
sample143	AR	2020-07-09
sample192	AR	2020-03-18
sample148	AR	2020-07-08
sample169	AR	2020-07-20
sample178	AR	2020-07-07
sample146	AR	2020-07-07
sample141	AR	2020-07-08
sample135	AR	2020-07-08
sample150	AR	2020-07-10
sample144	AR	2020-07-07
sample152	AR	2020-07-11
sample309	AZ	2020-03-17
sample206	AZ	2020-03-09
sample229	AZ	2020-03-20
sample221	AZ	2020-03-11
sample281	AZ	2020-03-19
sample234	AZ	2020-03-23
sample311	AZ	2020-03-14
sample315	AZ	2020-03-19
sample320	AZ	2020-03-15
sample307	AZ	2020-03-17
sample276	AZ	2020-04-02
sample249	AZ	2020-03-20
sample250	AZ	2020-03-24
sample230	AZ	2020-03-20
sample253	AZ	2020-03-26
sample977	CA	2020-06-08
sample2241	CA	2020-04-22
sample2603	CA	2020-09-17
sample2596	CA	2020-07-17
sample1984	CA	2020-06-15
sample1291	CA	2020-03-23
sample3458	CA	2020-03-24
sample2451	CA	2020-03-26
sample346	CA	2020-06-22
sample3574	CA	2020-06-05
sample1672	CA	2020-05-08
sample4294	CA	2020-08-28
sample2945	CA	2020-05-08
sample879	CA	2020-05-24
sample1204	CA	2020-05-23
sample4931	CO	2020-04-29
sample5010	CO	2020-03-16
sample4928	CO	2020-04-15
sample4954	CO	2020-04-22
sample4961	CO	2020-04-08
sample4896	CO	2020-03-13
sample4945	CO	2020-04-08
sample4995	CO	2020-03-18
sample4936	CO	2020-04-22
sample4959	CO	2020-04-02
sample4960	CO	2020-04-02
sample4924	CO	2020-04-15
sample4897	CO	2020-03-12
sample4892	CO	2020-03-08
sample4929	CO	2020-04-22
sample5083	CT	2020-04-07
sample5239	CT	2020-03-17
sample5240	CT	2020-03-17
sample5089	CT	2020-03-30
sample5139	CT	2020-03-27
sample5035	CT	2020-03-14
sample5168	CT	2020-03-29
sample5235	CT	2020-04-04
sample5200	CT	2020-03-26
sample5227	CT	2020-04-09
sample5199	CT	2020-03-25
sample5080	CT	2020-04-06
sample5256	CT	2020-03-17
sample5046	CT	2020-03-08
sample5212	CT	2020-04-01
sample5336	DE	2020-04-01
sample5294	DE	2020-03-14
sample5330	DE	2020-03-30
sample5301	DE	2020-03-25
sample5303	DE	2020-03-25
sample5332	DE	2020-03-31
sample5282	DE	2020-03-22
sample5325	DE	2020-03-27
sample105	DE	2020-03-31
sample5312	DE	2020-03-25
sample5331	DE	2020-03-31
sample5324	DE	2020-03-26
sample5292	DE	2020-03-19
sample5327	DE	2020-03-30
sample5323	DE	2020-03-27
sample5539	FL	2020-07-15
sample6494	FL	2020-07-13
sample5992	FL	2020-07-17
sample6258	FL	2020-08-18
sample5834	FL	2020-07-29
sample6282	FL	2020-07-27
sample5354	FL	2020-04-09
sample6007	FL	2020-08-20
sample6399	FL	2020-03-24
sample5728	FL	2020-07-02
sample5674	FL	2020-07-04
sample5689	FL	2020-05-18
sample5426	FL	2020-05-14
sample6533	FL	2020-07-07
sample6052	FL	2020-07-28
sample6586	GA	2020-02-29
sample6657	GA	2020-06-27
sample6656	GA	2020-07-01
sample6650	GA	2020-06-29
sample6590	GA	2020-03-04
sample6632	GA	2020-07-29
sample6612	GA	2020-03-13
sample6651	GA	2020-06-29
sample6706	GA	2020-03-14
sample6673	GA	2020-09-11
sample6677	GA	2020-09-19
sample6595	GA	2020-03
sample6685	GA	2020-03-14
sample6616	GA	2020-04-28
sample6684	GA	2020-03-13
sample6707	HI	2020-03-05
sample6708	HI	2020-03-07
sample6709	HI	2020-03-12
sample6710	HI	2020-03-12
sample6711	HI	2020-03-17
sample6712	HI	2020-03-16
sample6713	HI	2020-03-18
sample6714	HI	2020-03-19
sample6715	HI	2020-03-18
sample6716	HI	2020-03-13
sample6724	IA	2020-03-07
sample6743	IA	2020-05-04
sample6720	IA	2020-03-08
sample6778	IA	2020-03-09
sample6756	IA	2020-08-14
sample6753	IA	2020-08-01
sample6772	IA	2020-03-09
sample6722	IA	2020-03-08
sample6764	IA	2020-09-02
sample6757	IA	2020-08-17
sample6761	IA	2020-08-24
sample6728	IA	2020-04-11
sample6777	IA	2020-03-07
sample6780	IA	2020-03-10
sample6725	IA	2020-03-07
sample6921	ID	2020-03-17
sample6862	ID	2020-04-02
sample6888	ID	2020-03-19
sample6841	ID	2020-03-26
sample6838	ID	2020-03-22
sample6794	ID	2020-03-27
sample6901	ID	2020-03-19
sample6825	ID	2020-04-03
sample6933	ID	2020-03-12
sample6831	ID	2020-03-30
sample6945	ID	2020-03-17
sample6906	ID	2020-03-17
sample6897	ID	2020-03-19
sample6930	ID	2020-03-15
sample6805	ID	2020-03-25
sample7272	IL	2020-06-10
sample7016	IL	2020-03-19
sample7267	IL	2020-06-04
sample7258	IL	2020-03-28
sample6997	IL	2020-03-14
sample7114	IL	2020-09-14
sample7193	IL	2020-06-23
sample7179	IL	2020-03-30
sample7175	IL	2020-04-29
sample7029	IL	2020-03-21
sample7039	IL	2020-03-19
sample7156	IL	2020-04-11
sample7000	IL	2020-03-15
sample7172	IL	2020-04-29
sample7211	IL	2020-03-21
sample7289	IN	2020-03-16
sample7297	IN	2020-03-17
sample7300	IN	2020-03-16
sample7305	IN	2020-03-15
sample7292	IN	2020-03-16
sample7299	IN	2020-03-14
sample7301	IN	2020-03-16
sample7288	IN	2020-03-16
sample7294	IN	2020-03-16
sample7282	IN	2020-04-28
